month,day,time,room,speaker,speaker_department,speaker_institution,speaker_url,speaker_image,title,abstract_file
9,4,2 PM,online,Various Speakers,Department of Mathematics and Statistics,Texas Tech University,,DoubleT.jpg,Alternative Financial Indices,0902.txt
9,18,2 PM,online,Mahanama et alia,Department of Mathematics and Statistics,Texas Tech University,,Mahanama.jpg,Alternative Financial Indices,0918.txt
10,2,2 PM,online,Hu et alia,Department of Mathematics and Statistics,Texas Tech University,,Hu.jpg,Alternative Financial Indices,1002.txt
