month,day,time,room,speaker,speaker_department,speaker_institution,speaker_url,speaker_image,title,abstract_file
2,20,3:30 PM,,Hung Tran,Dept. of Mathematics and Statistics,TTU,http://www.myweb.ttu.edu/tra97432/,DoubleT.jpg,Variational Geometry,HT.txt
2,20,4:00 PM,,Stamatis Pouliasis,Dept. of Mathematics and Statistics,TTT,https://sites.google.com/site/stamatispouliasis/,DoubleT.jpg,Logarithmic capacity and rational lemniscates,SP.txt
2,27,3:30 PM,,Joshua Lee Padgett,Dept. of Mathematics and Statistics,TTU,http://myweb.ttu.edu/jopadget/,DoubleT.jpg,Operator Splitting Methods for ApproximatingDifferential Equations,JLP.txt
2,27,4:00 PM,,Amin Rahman,Dept. of Mathematics and Statistics,TTU,http://myweb.ttu.edu/aminrahm/,DoubleT.jpg,Simple Models in a Complex World,AR.txt
3,1,3:30 PM,AGED 102,"Vladimir Dragovic, PhD",Mathematical Sciences,"University of Texas, Dallas",https://profiles.utdallas.edu/vladimir.dragovic,DoubleT.jpg,"Pseudo-Integrable Billiards and Their Topological, Dynamical, and Arithmetic Properties",VD.txt
3,20,6:00 PM,,Margaret Wertheim,Museum of Texas Tech University,TTU,https://www.margaretwertheim.com/,DoubleT.jpg,How to Play Mathematics ,MW.txt
3,29,3:30 PM,,Richard Schoen,Department of Mathematics,University of California Irvine,https://www.math.uci.edu/people/richard-schoen,DoubleT.jpg,Extremal eigenvalue problems and minimal surfaces,RS.txt
4,14,12:00 PM,Matador Room,Details Here,Dept. of Mathematics and Statistics,TTU,http://www.math.ttu.edu/Department/Calendar/Conferences/past/wtamgm/02/,DoubleT.jpg,West Texas Applied Math Graduate Minisymposium 2,WTAM.txt
5,16,8:00 AM,,16th Year,Dept. of Mathematics and Statistics,TTU,http://www.math.ttu.edu/~enoether/ENHD18/index.html,DoubleT.jpg,16th Emmy Noether High School Mathematics Day,
