month,day,time,room,speaker,speaker_department,speaker_institution,speaker_url,speaker_image,title,abstract_file
1,20,4 PM,MATH 12,No Talk,Department of Mathematics and Statistics,Texas Tech University, ,DoubleT.jpg,MLK Day,empty.txt
1,27,4 PM,MATH 12,Alexander Yu. Solynin,Department of Mathematics and Statistics,Texas Tech University,http://www.math.ttu.edu/~asolynin/,solynin.jpg,Heating long pipes,Solynin.txt
2,3,4 PM,MATH 12,Alexander Yu. Solynin,Department of Mathematics and Statistics,Texas Tech University,http://www.math.ttu.edu/~asolynin/,solynin.jpg,Heating long pipes Part II,Solynin.txt
