month,day,time,room,speaker,speaker_department,speaker_institution,speaker_url,speaker_image,title,abstract_file
1,22,4:00 PM,MATH 114,Akif Ibraguimov,Department of Mathematics and Statistics,Texas Tech University,,ibraguimov.jpg,Non-divergent  equations with double degeneracy in a view of Einstein paradigm for Brownian motion,akif.txt
3,25,4:00 PM,MATH 114,Vrushali Bokil,Department of Mathematics,Oregon State University,,Vrushali1.jpg,TBA,akif.txt
3,11,4:00 PM,MATH 114,Joshua Padgett,Department of Mathematics and Statistics,Texas Tech University,,DoubleT.jpg,TBA,akif.txt
3,3,4:00 PM,MATH 114,Kazuo Yamazaki,Department of Mathematics and Statistics,Texas Tech University,,DoubleT.jpg,TBA,akif.txt
