month, day, week_day, time, room, speaker,speaker_department,speaker_institution,speaker_url, speaker_image, title, abstract_file
1,23,Tuesday,3:30 pm,CHEM 107,Feng Bao,Department of Mathematics,University of Tennessee at Chattanooga,,DoubleT.jpg,Backward SDE Methods for Nonlinear Filtering Problems,bao.txt
1,31,Wednesday,4 pm,MATH 112,Dimitri Volchenkov,Department of Mathematics and Statistics,Texas Tech University,,volchenkov.jpg,Survival under uncertainty,volchenkov.txt
2,7,Wednesday,4 pm,MATH 112,Hung Tran,Department of Mathematics and Statistics,Texas Tech University,,tran.jpg,Numerical Index Computation for Free Boundary Minimal Hypersurfaces,tran.txt
