month, day, time, room, speaker,speaker_department,speaker_institution,speaker_url, speaker_image, title, abstract_file
8,29,4 pm,MATH 109,,,,,DoubleT.jpg,No seminar,
9,5,4 pm,MATH 109,Dmitri Pavlov,Department of Mathematics and Statistics,Texas Tech University,https://dmitripavlov.org,DoubleT.jpg,From whence do differential forms come?,"From Newton to Cartan, infinitesimal quantities were productively used in analysis and differential geometry. This language was cast aside completely by the mid 20th century in favor of ugly limit-style arguments. Yet at the same time André Weil and Alexander Grothendieck came up with a very simple and elegant way to formalize infinitesimals: nilpotent elements in rings of functions. In this expository talk I will explain an extremely elegant formulation of differential forms in this language: the de Rham complex is isomorphic (and not merely quasi-isomorphic) to the infinitesimal smooth singular cochain complex with real coefficients. The talk will be accessible to graduate students, no prior knowledge of differential forms will be assumed or required."
9,12,4 pm,MATH 109,Dmitri Pavlov,Department of Mathematics and Statistics,Texas Tech University,https://dmitripavlov.org,DoubleT.jpg,From whence do differential forms come?  Part II,
