month,day,time,room,speaker,speaker_department,speaker_institution,speaker_url,speaker_image,title,abstract_file
9,1,3:30 PM,MATH 017,David Weinberg,Department of Mathematics and Statistics,Texas Tech University,http://www.math.ttu.edu/~dweinber/,Weinberg_David.jpg,Direct and Inverse Limits,
9,8,3:30 PM,MATH 017,David Weinberg,Department of Mathematics and Statistics,Texas Tech University,http://www.math.ttu.edu/~dweinber/,Weinberg_David.jpg,Presheaf,
9,15,3:30 PM,MATH 017,David Weinberg,Department of Mathematics and Statistics,Texas Tech University,http://www.math.ttu.edu/~dweinber/,Weinberg_David.jpg,Etale and Stalk,
9,22,3:30 PM,MATH 017,David Weinberg,Department of Mathematics and Statistics,Texas Tech University,http://www.math.ttu.edu/~dweinber/,Weinberg_David.jpg,Sheafification,
9,29,3:30 PM,MATH 017,David Weinberg,Department of Mathematics and Statistics,Texas Tech University,http://www.math.ttu.edu/~dweinber/,Weinberg_David.jpg,Spec I,
10,6,3:30 PM,MATH 017,David Weinberg,Department of Mathematics and Statistics,Texas Tech University,http://www.math.ttu.edu/~dweinber/,Weinberg_David.jpg,Spec I Again,
