discipline,year,semester,week_day,time,room,,,,,,,,,
AlgebraAndNumberTheory,2019,Spring,Monday,4-5 PM,MATH 112,,,,,,,,,
discipline,year,semester,month, day, week_day, time, room, speaker,speaker_department,speaker_institution,speaker_url, speaker_image, title, abstract_file
AlgebraAndNumberTheory,2019,Spring,4,3,Wednesday,4:00 PM,MATH 110,Joshua Padgett,Department of Mathematics and Statistics,Texas Tech University,http://myweb.ttu.edu/jopadget/,DoubleT.jpg,From analysis,empty.txt
