month,day,time,room,speaker,speaker_department,speaker_institution,speaker_url,speaker_image,title,abstract_file
1,27,2:00 PM,MATH 014,David Weinberg,Department of Mathematics and Statistics,Texas Tech University,http://www.math.ttu.edu/~dweinber/,Weinberg_David.jpg,Organizational Meeting,empty.txt
2,3,2:00 PM,MATH 014,David Weinberg,Department of Mathematics and Statistics,Texas Tech University,http://www.math.ttu.edu/~dweinber/,Weinberg_David.jpg,Rudiments of Several Complex Variables,empty.txt
2,10,2:00 PM,MATH 014,David Weinberg,Department of Mathematics and Statistics,Texas Tech University,http://www.math.ttu.edu/~dweinber/,Weinberg_David.jpg,Weierstrass Preparation,empty.txt
2,17,2:00 PM,MATH 014,David Weinberg,Department of Mathematics and Statistics,Texas Tech University,http://www.math.ttu.edu/~dweinber/,Weinberg_David.jpg,Applications of Preparation,empty.txt
2,24,2:00 PM,MATH 014,David Weinberg,Department of Mathematics and Statistics,Texas Tech University,http://www.math.ttu.edu/~dweinber/,Weinberg_David.jpg,Germs,empty.txt
3,2,2:00 PM,MATH 014,David Weinberg,Department of Mathematics and Statistics,Texas Tech University,http://www.math.ttu.edu/~dweinber/,Weinberg_David.jpg,Finite mappings,empty.txt
