month,day,time,room,speaker,speaker_department,speaker_institution,speaker_url,speaker_image,title,abstract_file
9,21,3 PM,online,João Hespanha,Electrical and Computer Engineering Department,University of California Santa Barbara,https://web.ece.ucsb.edu/~hespanha/,Hespanha.jpg,Opportunities and Challenges in Control Systems Arising from Ubiquitous Communication and Computation,DL2020.txt
9,22,3 PM,online,João Hespanha,Electrical and Computer Engineering Department,University of California Santa Barbara,https://web.ece.ucsb.edu/~hespanha/,Hespanha.jpg,Online Optimization for Output-Feedback Control,DL2020.txt
9,23,3 PM,online,João Hespanha,Electrical and Computer Engineering Department,University of California Santa Barbara,https://web.ece.ucsb.edu/~hespanha/,Hespanha.jpg,Estimation in Cyber-Physical Systems Under Attack,DL2020.txt
