week_day,time,room,,,,,,,,,
Monday,4-5 PM,MATH 112,,,,,,,,,
month, day, week_day, time, room, speaker,speaker_department,speaker_institution,speaker_url, speaker_image, title, abstract_file
4,3,Wednesday,4:00 PM,MATH 110,Dat Cao,Department of Mathematics and Statistics,Texas Tech University,http://myweb.ttu.edu/jopadget/,DoubleT.jpg,From analysis,empty.txt
