month,day,time,room,speaker,speaker_department,speaker_institution,speaker_url,speaker_image,title,abstract_file
1,21,4:00 PM,EDU 156,Jerry Dwyer, College of Education, Texas Tech University,,DoubleT.jpg,Assessment of Conceptual Learning,empty.txt
1,28,4:00 PM,EDU 156,Jerry Dwyer, College of Education, Texas Tech University,,DoubleT.jpg,The Purpose of Homework in Mathematics Learning,empty.txt
2,4,4:00 PM,EDU 156,Raymond Falcon, College of Education, Texas Tech University,,DoubleT.jpg,Connectedness and Gender Equity in the Xicanix Mathematics Classroom with Feminine Ideals in Learning Mathematics (FILM),empty.txt
2,11,4:00 PM,EDU 156,Gary Harris, College of Education, Texas Tech University,,DoubleT.jpg,What is the purpose of grading and what does it have to do with student learning in mathematics?,empty.txt

