month, day, time, room, speaker,speaker_department,speaker_institution,speaker_url, speaker_image, title, abstract_file
1,28,3:00 PM,MATH 110,Lars Christensen,Department of Mathematics and Statistics,Texas Tech University,,christensen.jpg,Job Talks,empty.txt
2,4,3:00 PM,MATH 110,Lars Christensen,Department of Mathematics and Statistics,Texas Tech University,,christensen.jpg,Job Talks,empty.txt
2,11,3:00 PM,MATH 110,Lars Christensen,Department of Mathematics and Statistics,Texas Tech University,,christensen.jpg,Job Talks,empty.txt
2,18,3:00 PM,MATH 110,Lars Christensen,Department of Mathematics and Statistics,Texas Tech University,,christensen.jpg,Job Talks,empty.txt
3,18,3:00 PM,MATH 251,Lars Christensen,Department of Mathematics and Statistics,Texas Tech University,,christensen.jpg,Application Materials,empty.txt
